vaccination_id,vaccine_name,date_given,next_due,notes,pet_id,vet_id
e3d03e74-c1b5-4390-b30d-ad06c0193bdf,Kennel Cough,9/24/2024,10/7/2001,Inform vet if pet is pregnant or ill,eaa81121-3ad8-4e8a-a9d1-6b776b93276c,869eecfc-f289-447a-abda-c96b192d9079
aad4b795-e722-4fc1-b944-d6cdc9b780ff,Feline Rhinotracheitis,11/14/2007,5/26/2023,Follow-up appointment required in 2 weeks,1e9a3ab0-d67c-4c90-95de-79e05602974b,ee8a149b-b11c-477a-86a4-3dfbc1bd0cf9
3e25eeb3-9825-4bea-86b8-8f25a4a0dd11,Parainfluenza,11/16/2006,10/31/2010,Vaccination may cause temporary loss of appetite,335f95dd-d0ee-4ada-89de-5592df58c571,59dec043-c4be-45c4-8284-816ead71a20f
4751cdce-6131-452c-8a93-708ea1e11af8,Feline Calicivirus,9/7/2006,5/23/2017,Administer booster shot in 3 weeks,3b445bb8-9c08-4ab3-b64a-30b08afdde40,a475c392-782c-4a95-a3d5-e0d6b81de409
10da1f7a-48da-4c55-878e-deb36bca7edd,Feline Panleukopenia,9/5/2014,3/29/2012,Do not feed immediately after vaccination,77ac57b7-2992-4588-af0e-63cbd0967d4d,5cc2cf52-b07d-4856-8fb3-cabbbfba4cb6
b136ffbb-4678-44eb-b0f7-021c2a73bbfc,Bordetella,2/17/2015,5/18/2006,Administer any prescribed post-vaccination medication,9971e47d-05b2-4707-8789-29766b522f8b,bd46dcb1-77be-4bd9-9ea1-628bd24763ab
a161148c-5d1b-433e-bcac-ed581e85b0a5,Parainfluenza,5/8/2023,7/15/2013,Administer booster shot in 3 weeks,a69aacbf-3964-4f3e-97e4-362789883077,30e5dac2-99e4-4a74-852e-b400c2018e19
e8688238-d194-4f35-ac67-e4aa0de2221b,Hepatitis,1/11/2011,12/20/2024,Do not feed immediately after vaccination,cad89368-b77e-4c2d-a731-2ea3ea41fdba,97230189-175a-4da4-8a7c-49397292c68b
f9541456-dd85-4dde-98b5-7b2ee78cada8,Feline Leukemia,6/11/2024,7/30/2016,Watch for excessive itching or swelling,03aa1a49-12f4-4e5c-a13e-367e1ceace89,75139bb8-d800-42c7-9545-c9d3cfa628c1
3dc33f79-c125-4b85-99c1-b9351ee0aa12,Bordetella,4/21/2016,5/23/2004,Do not feed immediately after vaccination,621344eb-f52c-4402-8160-fe984dd8736b,1dc3a843-bff8-4aaf-8900-61d38a92e100
49d85752-db1f-43f8-93fc-fa80ff458f66,RCP (Feline Rhinotracheitis,10/10/2011,11/22/2020,Watch for excessive itching or swelling,3c3afb7b-016d-4f1a-8cf3-8f115bc09da6,869eecfc-f289-447a-abda-c96b192d9079
cf0f51c3-4957-4a02-b179-276497e00e34,RCP (Feline Rhinotracheitis,11/12/2020,12/20/2011,Ensure pet is up-to-date with previous vaccinations,eea32b22-e3e6-4c24-bd97-86a026095d6f,0f10e7c0-877b-45c0-bd18-4d9efdd46061
d23661fc-1dcb-4aa0-8002-711b1721e836,RCP (Feline Rhinotracheitis,6/17/2002,6/17/2017,Vaccination may cause temporary loss of appetite,e09c82c0-e574-4619-9629-11b9ab9c27ff,d2f12571-b206-4b77-a85c-5a887bc11300
0448fc89-5d9c-4c7f-88dc-60b90d4e19e1,Hepatitis,3/23/2023,7/10/2009,Check vaccination record for upcoming boosters,a69aacbf-3964-4f3e-97e4-362789883077,a475c392-782c-4a95-a3d5-e0d6b81de409
b2393f54-69c7-415f-b585-ebc67754eb0b,Hepatitis,9/26/2023,7/15/2018,or lethargy,e12cc029-0968-441e-aa38-89806d4cb8be,df66b46d-76b3-4966-962f-d90b54965ac7
81c45172-cb09-4fe5-b899-28e1cb24990b,Feline Rhinotracheitis,10/9/2022,6/19/2019,swelling at injection site,c88600b8-df9d-4c2d-b2cb-86733564be90,c1f8d5b1-96ce-4dd2-86e3-c2e451a21f59
a08f0930-1599-4306-a4b1-b28d89e3bea5,Distemper,8/12/2023,10/9/2013,swelling at injection site,5ae08177-06b5-4f81-aaf6-4cf934ce6094,2f239ba1-7fcb-4f5f-b53d-ca2eed2bd6ae
051df839-e3f2-4fe6-a5ed-ad6cd2c449bf,Feline Panleukopenia,7/13/2017,8/9/2024,Check vaccination record for upcoming boosters,800462fd-14f0-4e1e-b1b7-338dbcad1b36,aceaa675-8e2c-44f9-9939-dbf5998d55b3
b9ba7887-7730-4c45-8927-b86db1de6177,Lyme Disease,10/20/2008,6/13/2006,Check vaccination record for upcoming boosters,4368c2c0-58f7-46be-aa78-42e27102143a,d01b7e67-8401-4e15-b7f3-a215096b478c
310a684c-69e4-4d3c-850b-91a4ab5dc848,Kennel Cough,12/20/2016,7/29/2019,Keep pet indoors after vaccination,5ca3739f-6c36-44b0-a5c5-eb1803a2e45e,7be01214-248a-4ca1-a35f-e6a24b140cb8
c1bff343-bfa9-4508-86e5-e2a82714ea90,Leptospira,7/26/2012,12/27/2015,Avoid stress for the next few days,a6e5b3a8-6c42-4cbb-b715-2cbcbe678151,22cfc2d6-a583-4199-a599-69af90e6be42
16df01ce-7158-4cc4-91c8-6c7735b15a81,Parvovirus,9/28/2010,12/3/2010,Common side effects may include mild fever,6b0ecb9d-b0a4-4ce5-936b-82ba0ec2a65e,69aafdbd-6faa-404b-8997-7bbc6a2494e2
e5a4e54a-a257-4f43-b341-754139e9656c,Rabies (3-year),3/12/2005,6/18/2011,Avoid strenuous exercise for 24 hours,d0a2487b-6713-410c-b4c5-e445ee5dcdc9,e30d0ea4-f63b-466a-917e-916943b69f42
baf91e12-5115-4093-aa35-31cc139d4b8a,DHPP (Canine Distemper,5/19/2024,7/22/2010,Administer any prescribed post-vaccination medication,911cc0d9-0418-4fec-89f4-bda98b877c77,7a278e2d-3850-4e08-b66b-8810c81fb30e
0f66ee10-63b0-4678-a3fc-fc4210f6f409,RCP (Feline Rhinotracheitis,5/4/2019,3/21/2007,Common side effects may include mild fever,a17ba3ae-9a18-4da4-9db1-dc54dbe3089b,3396c0f5-1d1d-48c9-8d62-59e1d84ce3ca
38f6358a-9d1c-46a9-8ad3-735476bd2c8b,Parainfluenza,5/13/2002,10/7/2010,Watch for excessive itching or swelling,a2488b26-7e1d-4171-9483-8ccdc75d2906,f55af8ba-7b96-48c5-81f6-a5187d4c16b1
321a1c17-4d47-448e-b5e2-40369efdf54d,Parainfluenza),10/20/2021,2/8/2015,Check vaccination record for upcoming boosters,e4ff1db5-0ec2-4f58-9878-36d06738cd0b,d3b1e076-fa39-451b-978c-1ec5f2ab9e62
c5a135ac-3030-43a5-a88b-e8419edccda8,Bordetella,12/12/2004,6/27/2016,Do not expose to unvaccinated animals for a few days,f6f8e8b2-23db-405a-b929-205287d06466,bd837107-da76-4455-ab90-2f15ed49f2ed
c7eb33e5-2150-410c-9011-6209c52c41d7,Rabies (3-year),10/28/2005,12/5/2003,swelling at injection site,ebc29199-8075-4fcc-a0bd-011a19069ef9,6a0a4d57-c67c-4659-8e49-da88220a4104
3512b149-bea3-4bd1-ab7f-38b16da75592,Bordetella Bronchiseptica,9/29/2015,6/4/2000,Inform vet if pet is pregnant or ill,335f95dd-d0ee-4ada-89de-5592df58c571,fd06252f-695b-42c5-bb7b-3050556b7cdf
0da9a3b7-af59-4298-b9a2-be5433dd4e7f,DHPP (Canine Distemper,4/29/2016,5/28/2024,Keep pet calm after vaccination,618878ec-a529-4830-ab7d-1e631b71bf9a,4d268e1f-3cdd-497c-a49c-bc6d75c3eeab
b6aa861f-5415-4b39-a52b-8a8f71f7f02e,DHPP (Canine Distemper,10/29/2006,2/15/2008,Common side effects may include mild fever,49f3d542-a0e9-4eca-af41-d6209da94b6a,673dc36e-f276-4e88-8c62-bca1dcf32ea1
0546b65f-ce34-4af9-a511-bce6cac86481,Calicivirus,8/25/2006,10/3/2016,Keep pet indoors after vaccination,ede2a112-4dc8-44ab-ae5f-755491048120,673dc36e-f276-4e88-8c62-bca1dcf32ea1
00440275-3c4e-46ee-ad1a-5e6d33f7d6c0,Feline Panleukopenia,2/4/2025,6/9/2010,Avoid strenuous exercise for 24 hours,068d19f6-6285-4bf4-a129-c310f4493dab,9224d36c-02f0-4bbf-ba4e-534de88ecbc4
537f68ee-5860-4f2a-91ea-93d50208a31e,Calicivirus,7/29/2000,7/25/2023,Inform vet if pet is pregnant or ill,04c841f5-b24b-46c3-91f2-3738617903ad,21c929ea-69b1-4422-823b-35f2b4a913a9
0774a58f-7529-4401-a509-69434fcf80ee,Leptospirosis,7/22/2016,10/13/2017,Avoid strenuous exercise for 24 hours,cc625c43-53cf-485d-937e-b64cb0969119,6c20c901-e144-4ebf-a523-3d974f2e7022
bc02bf85-7b2d-4d28-8d4c-dda96301cc2a,Feline Rhinotracheitis,12/14/2004,9/21/2000,Ensure pet is up-to-date with previous vaccinations,6152ccaf-9ef6-457e-af00-668545057059,d15a3590-f9ff-4cce-a728-56d6221344ba
e1d1b6e4-50ef-472a-b3c4-1846f11891b2,Panleukopenia),11/16/2010,12/17/2000,Do not feed immediately after vaccination,7ff28d7e-cde4-49a0-83a7-0caefc60d694,843d6843-d4b7-4bc6-b4bd-b1178d1fe38a
84c319cf-87d7-48e3-912d-ac4e0214d09b,Lyme Disease,6/15/2015,2/17/2013,Inform vet if pet is pregnant or ill,95e8f4ea-50bf-491b-a649-4b1864673b68,fdabea79-f3ff-4311-93b4-9976c17350f5
03387c44-18d4-4ba7-97e2-e225ba15a82f,Feline Leukemia,5/27/2017,7/11/2008,Administer any prescribed post-vaccination medication,096106f0-eb6c-405b-8920-10dce9cb24d1,6c20c901-e144-4ebf-a523-3d974f2e7022
46b6fc37-04f9-4011-bc6b-86f60c4b894c,Feline Chlamydia,8/8/2014,1/2/2025,Avoid strenuous exercise for 24 hours,9208f49c-f730-4c75-aee4-bca3dc66a95d,2d3bda44-92a2-4581-b86a-8ca3fe33ffbc
049b7323-584c-4afb-a3ec-ef1a681fedef,Parainfluenza),9/15/2000,10/16/2001,Common side effects may include mild fever,150074cf-7527-4ce7-980b-a3caf316f06c,b3fedd10-2923-4ed9-8bdd-5a24a3351072
b6a071eb-a930-471e-9127-b2ccba352c35,Leptospira,7/14/2014,3/29/2018,Follow-up appointment required in 2 weeks,ee68e791-3df9-4b14-9bc4-ce180b8109a0,7d70ed67-a9b0-428b-a58d-04291a486adb
51292d60-0cb7-4db6-9e04-6e02175641d4,Parainfluenza),1/11/2004,11/30/2009,Do not bathe pet for 24 hours,6232e7cc-423c-444d-b34a-9b49bec84a5e,5138111f-d091-413b-91ea-6e3775feaf50
36a3f84e-e3c2-4aba-bdad-b9f46c50c592,Feline Chlamydia,5/11/2018,6/6/2023,Administer booster shot in 3 weeks,96c8922a-4db5-49b7-be1e-8a11445e9863,6cf5e671-a006-4a0a-a550-87b2a42e0123
0dc12776-bed5-47b2-a957-4cd064558c2e,Hepatitis,5/23/2011,11/19/2021,Avoid strenuous exercise for 24 hours,d1f0d10a-59b5-4e0c-aa9c-2f3b7a698305,2c7c2c60-3a11-4e88-abec-fd423ee25cc7
0fac19e9-9587-4ed6-9921-fc6b3f0c60c0,Adenovirus,1/12/2010,11/25/2024,swelling at injection site,c535ca16-27a5-4563-aac9-7759839986ac,59dec043-c4be-45c4-8284-816ead71a20f
9d53ccaa-882c-4679-afd6-82fa79efbd35,Distemper,1/13/2004,5/1/2009,or lethargy,f753bb95-c45c-4ea4-a024-a14c0f5725f7,8107fe7f-b2ed-410c-bee6-e4031dad6450
fa28d618-e1d8-43d0-9fac-e463f5612b1a,Parvovirus,11/25/2010,9/1/2023,or lethargy,b1634ad1-24cd-4e3a-9340-24e14a77e375,30e5dac2-99e4-4a74-852e-b400c2018e19
c7c61968-b482-48b3-a304-604732dd6090,Feline Panleukopenia,3/29/2012,5/29/2000,Common side effects may include mild fever,ad87a358-e4d1-41b0-bd5b-589417af7dca,7be01214-248a-4ca1-a35f-e6a24b140cb8
916ef5fd-1499-4361-96a1-236e8956b335,Hepatitis,12/16/2016,2/1/2024,Follow-up appointment required in 2 weeks,7890afaa-ff01-4666-a2a5-3e76fab902c0,80e707c4-4c40-40f5-adc9-927fcae80f17
628c9647-57dc-4921-b05b-532aabc28cd6,Feline Panleukopenia,3/22/2013,7/8/2017,Avoid stress for the next few days,a1072a55-b24b-419b-9987-f153ebdece25,aceaa675-8e2c-44f9-9939-dbf5998d55b3
5ce83a84-4a9a-4600-a502-a5fcf74430e6,Tetanus,5/1/2021,6/16/2012,or lethargy,c1219163-751a-4be0-a1f6-4ed9cdada29c,6fa17213-2997-478f-88e3-7f421a65d670
9cc2d27a-6e5e-424c-ade2-ae289d292f8c,FIP (Feline Infectious Peritonitis),7/15/2002,2/12/2003,Check vaccination record for upcoming boosters,0e738742-c8dd-4eee-971f-9c6f76e255d1,956c1eba-3a3a-4144-93eb-bb682410af5b
f0e01937-b8f5-4780-8926-600f5088b528,Hepatitis,5/30/2015,1/11/2025,Ensure pet is hydrated,92436b90-c90c-4c38-b5a4-ffdf36c58700,bd837107-da76-4455-ab90-2f15ed49f2ed
b7e8d310-4f6a-48c7-a6de-b111fa5b849d,H3N8 Canine Influenza,2/6/2004,6/30/2010,Ensure pet is up-to-date with previous vaccinations,0482cede-0349-4474-be2b-7ffe4b8313a3,2b504649-8c6f-44f3-8d5e-d2f45d47deab
d2db154f-7902-4da0-923d-004ab66fe428,Bordetella Bronchiseptica,12/18/2012,9/19/2012,Administer booster shot in 3 weeks,7ef7924c-dcc7-44ce-8552-9d2488236c9f,2d3bda44-92a2-4581-b86a-8ca3fe33ffbc
d5655f69-4a5c-45e8-8636-6f1416751ea2,Panleukopenia),4/30/2009,9/29/2001,Ensure pet is up-to-date with previous vaccinations,3f4260a4-790a-491f-95d6-3edbd4a4ea1d,7be01214-248a-4ca1-a35f-e6a24b140cb8
bf24af52-2281-4aa0-b2c2-f59ab5f26bcb,Parainfluenza),7/12/2017,4/28/2023,Follow-up appointment required in 2 weeks,89e25545-b096-4493-a78c-01ea43f77f4d,de52a307-8248-4c00-977c-f4160d9cd3e8
5c62a77a-1690-48d1-8697-801b54bd41b2,Feline Leukemia,2/28/2011,11/1/2005,Check vaccination record for upcoming boosters,fdb2cc9d-acb2-4170-a0bf-b8c272666f97,09362660-6239-438a-ad9f-ff478ca8e70c
4f4c2891-1af3-4823-aeb4-3a4c9835c9d0,Bordetella Bronchiseptica,5/6/2022,5/8/2006,Monitor for side effects,5de2b801-d835-4e8a-998c-22c85bca4dde,e502413f-1446-4859-ad29-42cf0b23affc
2b386d7f-ada1-49e0-812d-4e5ba4d7a4b5,FIP (Feline Infectious Peritonitis),10/19/2019,5/23/2014,Follow-up appointment required in 2 weeks,4a84714f-4e16-46d9-9d33-82f4440b5313,046e7437-99b9-4910-810c-ba512baf5dc9
2503d3f7-af4b-4397-94a0-58e22110e6e9,FIP (Feline Infectious Peritonitis),10/27/2021,2/21/2007,Check vaccination record for upcoming boosters,17f5cedd-07ab-4433-b1bf-9b9978bacaca,ee68f715-c13b-42c8-b389-1e7eb902e3ec
93546f20-66c4-4deb-bf8d-a9e2dcda78d4,Parvovirus,2/21/2010,12/31/2006,Avoid stress for the next few days,d3daead7-cc5e-4fdb-91e5-9415ed53f667,bd46dcb1-77be-4bd9-9ea1-628bd24763ab
3fdd6456-7069-45cb-96fa-367602b53b4b,Kennel Cough,9/22/2006,2/15/2019,Avoid stress for the next few days,e2511fd2-14de-4064-8b22-e06b11773541,214b2ba1-82ec-4777-9c73-11930c64b1f3
27863a40-abc4-41f9-8ebd-f69c7d74ba34,Parvovirus,6/25/2009,8/26/2017,Check vaccination record for upcoming boosters,dae3f1c9-588e-44fd-b076-b4f60c49dca7,80ba6dea-0188-4dcd-b625-2a6960147fca
dc58a1eb-3902-4fb3-94fd-bb5e87f35414,Rabies,1/24/2004,12/26/2017,Watch for excessive itching or swelling,f217d766-f029-4018-8140-90d34c7b1a74,95c9f549-e476-434d-b53f-87e302fddb14
9b02084a-b151-46b0-869f-1c0342162475,Parainfluenza,1/9/2013,1/22/2007,swelling at injection site,a14dc6c0-ef5c-493f-b041-202c836127f2,b3763f22-e06d-40db-b94f-25fbd158a4f0
e9fe00fd-d168-4fae-8bda-8a65aa042419,Bordetella Bronchiseptica,9/11/2024,11/21/2017,Common side effects may include mild fever,ee61a974-6f1c-4765-8b60-df0c6cd68dd2,95c9f549-e476-434d-b53f-87e302fddb14
ee35c151-ba39-46c1-af69-424ce98fa968,FIP (Feline Infectious Peritonitis),3/8/2018,3/11/2007,or lethargy,b1535528-e718-4625-85b0-3174066cfc7b,7a278e2d-3850-4e08-b66b-8810c81fb30e
93171e91-c481-4dfe-a990-f09c06b9b36d,Hepatitis,11/29/2011,3/30/2001,Monitor for side effects,95879d7e-c04d-4edb-8a23-2a74930c5c86,95f7dd28-b84a-4567-81c0-e53695328131
3dbcdb79-7dfb-4b6c-9720-8ea8947f5eb0,H3N2 Canine Influenza,3/3/2012,12/29/2017,Common side effects may include mild fever,038859ae-548c-4a42-9ff4-10221e03af9c,ff80b442-fa33-47bc-ae1c-62dfcda5af4f
6df02c0d-fe53-4cc7-b5f9-aa569524a40e,Parvovirus,2/10/2005,3/3/2012,Keep pet indoors after vaccination,cba3088a-064c-4261-82d2-0c2719d3b33a,556f918f-e3d9-4e1c-ba4a-7fee0e5c4e49
dc30bcc7-ec85-4360-b82c-6b31b98590de,Feline Rhinotracheitis,8/15/2016,6/19/2019,Follow-up appointment required in 2 weeks,757cdc3e-1cab-4feb-aa96-d41c71400f30,fa708656-df65-46b0-b7a7-05d398594045
f497abc8-b282-43d0-be6b-8127ebcf7e0b,Bordetella,8/17/2023,12/22/2022,Ensure pet is hydrated,849772cd-2337-485e-ac23-9da0738e0f2e,6b000f15-eaa0-4b50-84c5-386276863b15
70a9e964-6f73-41f1-bd0c-5e58e03c37e3,Parvovirus,8/27/2008,3/13/2022,Avoid strenuous exercise for 24 hours,394c4462-f367-427f-862d-54906998acd5,df24be23-3319-49ac-a0cf-bacd4af8629e
597400bd-1af7-4071-b0e7-8f7b935a7d9b,Panleukopenia),5/28/2004,7/12/2010,Observe for signs of allergic reaction,657278f4-1796-4bbc-8041-e4ea58723c39,b894e284-d6ea-487f-a6b8-a77c33ade36d
806e59d8-a14b-4c4f-a469-3755f6dd3433,Bordetella,2/26/2025,3/30/2001,Check vaccination record for upcoming boosters,7e5b8a28-8ff1-4d4c-b8d6-4953370ee2fa,e9e79837-7736-46ba-980c-9590776a4e68
47a513df-ba53-447b-9e79-d01c29cb9690,Feline Leukemia,6/6/2021,8/26/2024,Inform vet if pet is pregnant or ill,6eba9fca-32ae-4001-a877-e62849d8c085,d3ead0f3-f2ff-4a9d-bbae-6fedf298b34f
5b625749-73ca-43df-94ac-a586273e22b2,Leptospirosis,8/28/2004,1/2/2019,Monitor for side effects,484a1dec-c732-46d1-afaa-8d57e7ee642b,df24be23-3319-49ac-a0cf-bacd4af8629e
ebbb15ad-3ba7-4741-8bfa-9bf8adc6d5a2,Feline Panleukopenia,2/27/2024,4/29/2016,Do not expose to unvaccinated animals for a few days,fc8670c4-9da9-4abe-9b70-8654d896a0a4,337f4d29-5977-4e76-b493-41dd50e41a3f
3241e146-bf86-4aab-a815-66a0108dad0b,Canine Influenza,11/2/2004,8/13/2000,Monitor for side effects,109de33c-13df-46d6-a475-5c2aa94492ee,bd837107-da76-4455-ab90-2f15ed49f2ed
d6e7e818-f058-4b73-aad8-0d6b6ae39d74,Bordetella Bronchiseptica,4/11/2020,3/18/2012,Do not feed immediately after vaccination,4039c7c6-b9b3-45e5-90eb-dd20a3da6d06,df66b46d-76b3-4966-962f-d90b54965ac7
39ad585d-64c8-4477-a9d6-dcd9159f3c26,Bordetella,10/16/2003,5/24/2007,Notify vet of any unusual behavior or signs post-vaccination,c02153b0-21c8-47e6-a572-4c972d1b1ecb,b3763f22-e06d-40db-b94f-25fbd158a4f0
ae65083e-8fe6-4539-8400-7a056895f380,Rabies (3-year),8/29/2015,7/12/2011,Observe for signs of allergic reaction,7a01cd5c-cb34-4dcb-80d0-a24796a2eb9b,bc34e8da-60d8-4f6d-9d4f-de73f99c77d1
1fecd1d8-7212-4baf-9107-5d5527f3e308,Distemper,7/20/2001,1/29/2015,Monitor for side effects,adc68f5f-f61a-4ce2-b4cd-81d756be1207,6a0a4d57-c67c-4659-8e49-da88220a4104
d5564230-25ea-4550-9647-e57d1a184efd,Parvovirus,12/2/2016,5/18/2024,Inform vet if pet is pregnant or ill,ae57b097-22ea-47b7-8598-ece09d470d07,105597e4-2d76-445a-9dbf-bde5a3b43468
1fb6677e-f8ee-4cf1-804e-b87e619c653d,Feline Leukemia,5/15/2020,5/18/2021,Administer any prescribed post-vaccination medication,b0df19e1-8d94-42ff-8c13-96e6c389501a,2d3bda44-92a2-4581-b86a-8ca3fe33ffbc
e76d4282-b7cf-4c07-99e8-20b0fab4aef1,Kennel Cough,5/27/2022,12/27/2020,Ensure pet is up-to-date with previous vaccinations,b0eb7254-70fb-4563-af51-ca8d5ec4f950,f55af8ba-7b96-48c5-81f6-a5187d4c16b1
350ac7de-ef22-484e-9bd3-afce5d8aea0c,Leptospirosis,2/7/2024,5/13/2024,or lethargy,e6c34b7a-1832-4f1a-b751-c0f6820a0452,ff80b442-fa33-47bc-ae1c-62dfcda5af4f
6c489e2b-297a-4e3c-b809-bed392fe9bda,Feline Chlamydia,4/15/2004,7/27/2012,Inform vet if pet is pregnant or ill,b1bc9f4d-c3c8-45bb-9c54-fd062797c9aa,9028ba15-2fb3-4724-a2f6-dc3a41079583
8583a97b-e5aa-4e2d-9997-05f4ba8694c2,H3N8 Canine Influenza,2/24/2018,5/24/2008,Observe for signs of allergic reaction,c3a09cb6-41b1-4d42-b8da-79746c5dd01c,36cf5e41-9389-49c2-a270-f71fed091abf
95dc22bc-009f-4e1c-a750-b8102eaa979d,Rabies (3-year),1/18/2022,5/6/2024,Do not expose to unvaccinated animals for a few days,1005abe2-49db-4a81-9124-f586b6538995,92c667c9-9dc8-4c9a-a4c7-5ef3572a997f
ed62897c-9059-42c9-9658-805867b46af9,H3N2 Canine Influenza,8/28/2014,7/19/2016,Follow-up appointment required in 2 weeks,0b715ab3-518f-4346-8c25-9243b7da3659,c1ef28d6-ed37-4772-932d-1c00976284d9
f601c03b-417a-4e89-bb86-f444168114b9,Parvovirus,12/9/2007,11/10/2011,Common side effects may include mild fever,c0696452-0f58-4a3d-81d4-8f8217e2e326,700f536e-1c77-40d0-900d-b2b70b429a87
0b0b7f80-d879-413f-a3ad-8348d7d96244,Panleukopenia),3/12/2025,12/11/2005,Administer booster shot in 3 weeks,9ee16fbe-13e2-49b2-801c-e361569b8e06,2d2e7bc3-4e4c-4dc8-b980-29cd50541ba8
3b284bdb-38ee-4f6e-86f4-8b88822587a2,Parainfluenza),9/17/2013,4/8/2005,Follow-up appointment required in 2 weeks,4da6066d-d9f6-41d4-a413-e157bb3b0194,06879170-70e7-47e0-804c-214d61f5d003
a00397a4-dba6-4fe7-9266-192e61b466dc,Feline Panleukopenia,3/17/2015,8/20/2003,Avoid strenuous exercise for 24 hours,05ac4367-4e7b-4b91-ba6f-f4fc787d31b1,b3763f22-e06d-40db-b94f-25fbd158a4f0
f0def1c3-9789-4f87-a36d-45ef37e757dd,Hepatitis,6/4/2019,8/27/2011,Administer booster shot in 3 weeks,ed58ab22-b9f3-421a-ad5d-7a59611d2e7c,46a18e9b-874f-465c-9eeb-9f42b5c782de
fb79fddf-c5e5-4812-b3d8-bba9338dea81,Feline Rhinotracheitis,9/14/2024,11/7/2009,Observe for signs of allergic reaction,e2055e4a-ae8b-4dbb-a509-b718abcce79b,ee8a149b-b11c-477a-86a4-3dfbc1bd0cf9
b477adb5-a97b-436e-931f-bebb39777d99,Leptospira,10/24/2022,1/4/2020,Ensure pet is up-to-date with previous vaccinations,50f74885-9987-4c4e-969f-ab628a8a2daa,aa52c7ec-b63d-48a0-bd96-8515b6cfc07e
0049f52d-ae92-447e-ae04-4dd460f39c19,FIP (Feline Infectious Peritonitis),12/19/2021,9/12/2020,Ensure pet is hydrated,7e2d3690-938c-4be4-9151-7041c6285692,b894e284-d6ea-487f-a6b8-a77c33ade36d
1c6137e3-48b8-46b2-97c4-e528df5d0524,H3N8 Canine Influenza,10/26/2024,9/23/2002,Monitor for side effects,7c4a95c7-91d1-4b30-9960-b8698f4119ef,116ba9dc-4554-45e0-855e-07a6a7f55ff5
14f8dfea-5e41-43e8-a71a-d08f619beb05,Hepatitis,4/12/2016,4/16/2020,Avoid strenuous exercise for 24 hours,78b73a45-f9b1-49f9-a9e6-7a53094957cc,d15a3590-f9ff-4cce-a728-56d6221344ba
3371156f-04fc-426d-bb91-56dc647f98c4,DHPP (Canine Distemper,4/23/2020,6/6/2018,Follow-up appointment required in 2 weeks,147de1f9-7333-47cf-ac61-b7b79847f341,a9f4a9ea-e300-41f2-9ec1-da286d86e81e
7b60a466-ead5-4e06-b6c4-c146b38f6e54,Feline Chlamydia,10/27/2004,6/21/2004,Avoid strenuous exercise for 24 hours,7244ab62-cfeb-4f81-8f5e-d4ef94b4fa83,49b2f9ba-653b-442b-a78c-6e695e5bb98a
507c6517-1a85-4b45-9c2a-0561d572fb8d,H3N2 Canine Influenza,7/12/2004,12/17/2008,Do not feed immediately after vaccination,da35e4f9-6fe9-457f-986d-f3f1fdac5393,4a845538-fa02-4876-a72a-6362160493fe
4fc54a39-0c69-410d-a7ae-79fcab4d60cf,DHPP (Canine Distemper,11/9/2013,1/17/2017,Notify vet of any unusual behavior or signs post-vaccination,bb30275b-c1fb-4ef5-bb6c-a75c743cac30,f9afc424-5634-40df-ae60-96d332a70aa6
b67b90ba-d244-48fa-811d-eed55cf18e2d,Feline Rhinotracheitis,11/13/2024,4/18/2021,Inform vet if pet is pregnant or ill,e4b3a930-178a-4a0f-80ac-461b255dd1fa,bd837107-da76-4455-ab90-2f15ed49f2ed
25f0ddb9-16f0-4525-a4f2-0403fb084069,Kennel Cough,1/12/2018,9/9/2002,Follow-up appointment required in 2 weeks,77fcdc60-b939-430b-a06e-f77282278c24,ff80b442-fa33-47bc-ae1c-62dfcda5af4f
c70d796e-abe0-41ac-aee7-bb13f3c9987f,Rabies (3-year),5/12/2004,7/9/2009,Ensure pet is up-to-date with previous vaccinations,a509db99-b28f-44a3-a187-d3f246c77183,3396c0f5-1d1d-48c9-8d62-59e1d84ce3ca
994fe724-1197-49d7-a7c8-8ac06ba50c66,Kennel Cough,1/30/2019,5/18/2012,Keep pet indoors after vaccination,30bc7df3-4ad8-42b6-aee9-a0750c134b16,95f7dd28-b84a-4567-81c0-e53695328131
7d037c26-62eb-4566-9b32-bf8b058b2c45,Panleukopenia),9/30/2004,2/10/2008,Watch for excessive itching or swelling,cba0e14a-29f0-4f82-af2b-5fe40262bc88,82852627-7d5e-4d6e-8721-4a2572fe0a35
2f8aa7b0-38eb-4e92-afbd-4f3dd0a55a9d,Tetanus,12/27/2006,7/16/2011,Do not feed immediately after vaccination,eaa81121-3ad8-4e8a-a9d1-6b776b93276c,5f897080-971b-414a-836b-f285cdd7664d
c2e8193b-d3a2-4ee1-8b28-e6d907d77265,RCP (Feline Rhinotracheitis,10/24/2019,4/4/2020,Follow-up appointment required in 2 weeks,365ee33b-9646-43e5-83b8-2546b5480f4c,1c42e31c-c28b-4345-8116-39641c629011
c4569d5d-0c78-43f8-9888-adefd411107f,Lyme Disease,11/28/2019,5/7/2001,Inform vet if pet is pregnant or ill,5191db42-5abf-479f-b68a-5de58f5b1683,58834369-c955-4e18-a6e1-62214dbea66d
deb3694b-8d2b-41e8-97b8-57b5433afe0e,Hepatitis,6/16/2017,7/22/2012,Do not feed immediately after vaccination,afd766f9-c01c-4fee-a99b-0ab47c257792,1e92cf7f-0bbb-4227-bb3e-ba7afbff168f
